"an","location_name","caen_description","total_value","yoy_growth","market_share_pct","growth_rank"
2008, Teleorman,D  PRODUCTIA SI FURNIZAREA DE ENERGIE ELECTRICA SI TERMICA  GAZE  APA CALDA SI AER CONDITIONAT,113000000,,0.23191380194971780400,1
2008, Dambovita,D  PRODUCTIA SI FURNIZAREA DE ENERGIE ELECTRICA SI TERMICA  GAZE  APA CALDA SI AER CONDITIONAT,366000000,,0.75115443817342226800,1
2008, Ialomita,D  PRODUCTIA SI FURNIZAREA DE ENERGIE ELECTRICA SI TERMICA  GAZE  APA CALDA SI AER CONDITIONAT,2000000,,0.004104669061056952283200,1
2008, Salaj,D  PRODUCTIA SI FURNIZAREA DE ENERGIE ELECTRICA SI TERMICA  GAZE  APA CALDA SI AER CONDITIONAT,216000000,,0.44330425859415084700,1
2008, Sibiu,D  PRODUCTIA SI FURNIZAREA DE ENERGIE ELECTRICA SI TERMICA  GAZE  APA CALDA SI AER CONDITIONAT,335000000,,0.68753206772703950700,1
2008, Buzau,D  PRODUCTIA SI FURNIZAREA DE ENERGIE ELECTRICA SI TERMICA  GAZE  APA CALDA SI AER CONDITIONAT,313000000,,0.64238070805541303200,1
2008, Suceava,D  PRODUCTIA SI FURNIZAREA DE ENERGIE ELECTRICA SI TERMICA  GAZE  APA CALDA SI AER CONDITIONAT,482000000,,0.98922524371472550000,1
2008, Vrancea,D  PRODUCTIA SI FURNIZAREA DE ENERGIE ELECTRICA SI TERMICA  GAZE  APA CALDA SI AER CONDITIONAT,197000000,,0.40430990251410980000,1
2008, Vaslui,E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE,94000000,,0.78385590393595730500,1
2008, Hunedoara,E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE,403000000,,3.36057371581054036000,1
2008, Cluj,E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE,275000000,,2.29319546364242828600,1
2008, Salaj,E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE,65000000,,0.54202801867911941300,1
2008, Galati,E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE,535000000,,4.46130753835890593700,1
2008, Timis,E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE,253000000,,2.10973982655103402300,1
2008, Suceava,E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE,71000000,,0.59206137424949966600,1
2008, Dolj,E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE,272000000,,2.26817878585723815900,1
2008, Botosani,E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE,121000000,,1.00900600400266844600,1
2008, Mures,E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE,180000000,,1.50100066711140760500,1
2008, Gorj,E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE,212000000,,1.76784523015343562400,1
2008, Valcea,E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE,193000000,,1.60940627084723148800,1
2008, Alba,E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE,116000000,,0.96731154102735156800,1
2008, Iasi,E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE,419000000,,3.49399599733155437000,1
2008, Maramures,E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE,128000000,,1.06737825216811207500,1
