CAEN Rev.2  (activitati ale economiei nationale), Clase de marime, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Miliarde lei  lei RON  mii lei RON milioane lei RON (incepand cu 2005), Valoare
B  INDUSTRIA EXTRACTIVA, Total, Salaj, Anul 2017, Milioane lei RON, 20
B  INDUSTRIA EXTRACTIVA, Total, Salaj, Anul 2018, Milioane lei RON, 18
B  INDUSTRIA EXTRACTIVA, Total, Salaj, Anul 2019, Milioane lei RON, 43
B  INDUSTRIA EXTRACTIVA, Total, Salaj, Anul 2020, Milioane lei RON, 60
B  INDUSTRIA EXTRACTIVA, Total, Salaj, Anul 2021, Milioane lei RON, 68
B  INDUSTRIA EXTRACTIVA, Total, Salaj, Anul 2022, Milioane lei RON, 54
B  INDUSTRIA EXTRACTIVA, Total, Salaj, Anul 2023, Milioane lei RON, 44
B  INDUSTRIA EXTRACTIVA, Total, Salaj, Anul 2024, Milioane lei RON, 44
B  INDUSTRIA EXTRACTIVA, Total, Alba, Anul 2008, Milioane lei RON, 74
B  INDUSTRIA EXTRACTIVA, Total, Alba, Anul 2009, Milioane lei RON, 63
B  INDUSTRIA EXTRACTIVA, Total, Alba, Anul 2010, Milioane lei RON, 133
B  INDUSTRIA EXTRACTIVA, Total, Alba, Anul 2011, Milioane lei RON, 187
B  INDUSTRIA EXTRACTIVA, Total, Alba, Anul 2012, Milioane lei RON, 203
B  INDUSTRIA EXTRACTIVA, Total, Alba, Anul 2013, Milioane lei RON, 207
B  INDUSTRIA EXTRACTIVA, Total, Alba, Anul 2014, Milioane lei RON, 191
B  INDUSTRIA EXTRACTIVA, Total, Alba, Anul 2015, Milioane lei RON, 195
B  INDUSTRIA EXTRACTIVA, Total, Alba, Anul 2016, Milioane lei RON, 170
B  INDUSTRIA EXTRACTIVA, Total, Alba, Anul 2017, Milioane lei RON, 218
B  INDUSTRIA EXTRACTIVA, Total, Alba, Anul 2018, Milioane lei RON, 275
B  INDUSTRIA EXTRACTIVA, Total, Alba, Anul 2019, Milioane lei RON, 336
B  INDUSTRIA EXTRACTIVA, Total, Alba, Anul 2020, Milioane lei RON, 341
B  INDUSTRIA EXTRACTIVA, Total, Alba, Anul 2021, Milioane lei RON, 415
B  INDUSTRIA EXTRACTIVA, Total, Alba, Anul 2022, Milioane lei RON, 557
B  INDUSTRIA EXTRACTIVA, Total, Alba, Anul 2023, Milioane lei RON, 470
B  INDUSTRIA EXTRACTIVA, Total, Alba, Anul 2024, Milioane lei RON, 554
B  INDUSTRIA EXTRACTIVA, Total, Brasov, Anul 2008, Milioane lei RON, 64
B  INDUSTRIA EXTRACTIVA, Total, Brasov, Anul 2009, Milioane lei RON, 66
B  INDUSTRIA EXTRACTIVA, Total, Brasov, Anul 2010, Milioane lei RON, 48
B  INDUSTRIA EXTRACTIVA, Total, Brasov, Anul 2011, Milioane lei RON, 63
B  INDUSTRIA EXTRACTIVA, Total, Brasov, Anul 2012, Milioane lei RON, 47
B  INDUSTRIA EXTRACTIVA, Total, Brasov, Anul 2013, Milioane lei RON, 40
B  INDUSTRIA EXTRACTIVA, Total, Brasov, Anul 2014, Milioane lei RON, 37
B  INDUSTRIA EXTRACTIVA, Total, Brasov, Anul 2015, Milioane lei RON, 45
B  INDUSTRIA EXTRACTIVA, Total, Brasov, Anul 2016, Milioane lei RON, 49
B  INDUSTRIA EXTRACTIVA, Total, Brasov, Anul 2017, Milioane lei RON, 45
B  INDUSTRIA EXTRACTIVA, Total, Brasov, Anul 2018, Milioane lei RON, 49
B  INDUSTRIA EXTRACTIVA, Total, Brasov, Anul 2019, Milioane lei RON, 34
B  INDUSTRIA EXTRACTIVA, Total, Brasov, Anul 2020, Milioane lei RON, 51
B  INDUSTRIA EXTRACTIVA, Total, Brasov, Anul 2021, Milioane lei RON, 38
B  INDUSTRIA EXTRACTIVA, Total, Brasov, Anul 2022, Milioane lei RON, 45
B  INDUSTRIA EXTRACTIVA, Total, Brasov, Anul 2023, Milioane lei RON, 61
B  INDUSTRIA EXTRACTIVA, Total, Brasov, Anul 2024, Milioane lei RON, 80
B  INDUSTRIA EXTRACTIVA, Total, Covasna, Anul 2008, Milioane lei RON, 63
B  INDUSTRIA EXTRACTIVA, Total, Covasna, Anul 2009, Milioane lei RON, 29
B  INDUSTRIA EXTRACTIVA, Total, Covasna, Anul 2010, Milioane lei RON, 21
B  INDUSTRIA EXTRACTIVA, Total, Covasna, Anul 2011, Milioane lei RON, 34
B  INDUSTRIA EXTRACTIVA, Total, Covasna, Anul 2012, Milioane lei RON, 40
B  INDUSTRIA EXTRACTIVA, Total, Covasna, Anul 2013, Milioane lei RON, 38
B  INDUSTRIA EXTRACTIVA, Total, Covasna, Anul 2014, Milioane lei RON, 47
B  INDUSTRIA EXTRACTIVA, Total, Covasna, Anul 2015, Milioane lei RON, 53
B  INDUSTRIA EXTRACTIVA, Total, Covasna, Anul 2016, Milioane lei RON, 45
B  INDUSTRIA EXTRACTIVA, Total, Covasna, Anul 2017, Milioane lei RON, 45
B  INDUSTRIA EXTRACTIVA, Total, Covasna, Anul 2018, Milioane lei RON, 54
B  INDUSTRIA EXTRACTIVA, Total, Covasna, Anul 2019, Milioane lei RON, 68
B  INDUSTRIA EXTRACTIVA, Total, Covasna, Anul 2020, Milioane lei RON, 84
B  INDUSTRIA EXTRACTIVA, Total, Covasna, Anul 2021, Milioane lei RON, 88
B  INDUSTRIA EXTRACTIVA, Total, Covasna, Anul 2022, Milioane lei RON, 102
B  INDUSTRIA EXTRACTIVA, Total, Covasna, Anul 2023, Milioane lei RON, 96
B  INDUSTRIA EXTRACTIVA, Total, Covasna, Anul 2024, Milioane lei RON, 297
B  INDUSTRIA EXTRACTIVA, Total, Harghita, Anul 2008, Milioane lei RON, 76
B  INDUSTRIA EXTRACTIVA, Total, Harghita, Anul 2009, Milioane lei RON, 54
B  INDUSTRIA EXTRACTIVA, Total, Harghita, Anul 2010, Milioane lei RON, 76
B  INDUSTRIA EXTRACTIVA, Total, Harghita, Anul 2011, Milioane lei RON, 70
B  INDUSTRIA EXTRACTIVA, Total, Harghita, Anul 2012, Milioane lei RON, 93
B  INDUSTRIA EXTRACTIVA, Total, Harghita, Anul 2013, Milioane lei RON, 81
B  INDUSTRIA EXTRACTIVA, Total, Harghita, Anul 2014, Milioane lei RON, 70
B  INDUSTRIA EXTRACTIVA, Total, Harghita, Anul 2015, Milioane lei RON, 76
B  INDUSTRIA EXTRACTIVA, Total, Harghita, Anul 2016, Milioane lei RON, 55
B  INDUSTRIA EXTRACTIVA, Total, Harghita, Anul 2017, Milioane lei RON, 87
B  INDUSTRIA EXTRACTIVA, Total, Harghita, Anul 2018, Milioane lei RON, 102
B  INDUSTRIA EXTRACTIVA, Total, Harghita, Anul 2019, Milioane lei RON, 117
B  INDUSTRIA EXTRACTIVA, Total, Harghita, Anul 2020, Milioane lei RON, 134
B  INDUSTRIA EXTRACTIVA, Total, Harghita, Anul 2021, Milioane lei RON, 155
B  INDUSTRIA EXTRACTIVA, Total, Harghita, Anul 2022, Milioane lei RON, 179
B  INDUSTRIA EXTRACTIVA, Total, Harghita, Anul 2023, Milioane lei RON, 182
B  INDUSTRIA EXTRACTIVA, Total, Harghita, Anul 2024, Milioane lei RON, 191
B  INDUSTRIA EXTRACTIVA, Total, Mures, Anul 2008, Milioane lei RON, 1388
B  INDUSTRIA EXTRACTIVA, Total, Mures, Anul 2009, Milioane lei RON, 1415
B  INDUSTRIA EXTRACTIVA, Total, Mures, Anul 2010, Milioane lei RON, 1390
B  INDUSTRIA EXTRACTIVA, Total, Mures, Anul 2011, Milioane lei RON, 1366
B  INDUSTRIA EXTRACTIVA, Total, Mures, Anul 2012, Milioane lei RON, 1352
B  INDUSTRIA EXTRACTIVA, Total, Mures, Anul 2013, Milioane lei RON, 1529
B  INDUSTRIA EXTRACTIVA, Total, Mures, Anul 2014, Milioane lei RON, 2069
B  INDUSTRIA EXTRACTIVA, Total, Mures, Anul 2015, Milioane lei RON, 1432
B  INDUSTRIA EXTRACTIVA, Total, Mures, Anul 2016, Milioane lei RON, 1134
