CAEN Rev.2  (activitati ale economiei nationale), Clase de marime, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Miliarde lei  lei RON  mii lei RON milioane lei RON (incepand cu 2005), Valoare
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Vaslui, Anul 2010, Milioane lei RON, 1985
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Vaslui, Anul 2011, Milioane lei RON, 2199
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Vaslui, Anul 2012, Milioane lei RON, 2408
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Vaslui, Anul 2013, Milioane lei RON, 2290
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Vaslui, Anul 2014, Milioane lei RON, 2554
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Vaslui, Anul 2015, Milioane lei RON, 3038
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Vaslui, Anul 2016, Milioane lei RON, 3368
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Vaslui, Anul 2017, Milioane lei RON, 3591
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Vaslui, Anul 2018, Milioane lei RON, 4019
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Vaslui, Anul 2019, Milioane lei RON, 4324
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Vaslui, Anul 2020, Milioane lei RON, 4669
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Vaslui, Anul 2021, Milioane lei RON, 5342
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Vaslui, Anul 2022, Milioane lei RON, 5989
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Vaslui, Anul 2023, Milioane lei RON, 6425
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Vaslui, Anul 2024, Milioane lei RON, 6975
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Braila, Anul 2008, Milioane lei RON, 3694
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Braila, Anul 2009, Milioane lei RON, 3417
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Braila, Anul 2010, Milioane lei RON, 3678
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Braila, Anul 2011, Milioane lei RON, 4983
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Braila, Anul 2012, Milioane lei RON, 5465
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Braila, Anul 2013, Milioane lei RON, 5020
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Braila, Anul 2014, Milioane lei RON, 4893
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Braila, Anul 2015, Milioane lei RON, 5697
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Braila, Anul 2016, Milioane lei RON, 6191
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Braila, Anul 2017, Milioane lei RON, 6379
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Braila, Anul 2018, Milioane lei RON, 7218
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Braila, Anul 2019, Milioane lei RON, 7091
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Braila, Anul 2020, Milioane lei RON, 5906
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Braila, Anul 2021, Milioane lei RON, 7640
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Braila, Anul 2022, Milioane lei RON, 9494
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Braila, Anul 2023, Milioane lei RON, 9978
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Braila, Anul 2024, Milioane lei RON, 9285
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Buzau, Anul 2008, Milioane lei RON, 5678
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Buzau, Anul 2009, Milioane lei RON, 5717
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Buzau, Anul 2010, Milioane lei RON, 6496
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Buzau, Anul 2011, Milioane lei RON, 7118
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Buzau, Anul 2012, Milioane lei RON, 7328
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Buzau, Anul 2013, Milioane lei RON, 6089
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Buzau, Anul 2014, Milioane lei RON, 6120
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Buzau, Anul 2015, Milioane lei RON, 6406
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Buzau, Anul 2016, Milioane lei RON, 6795
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Buzau, Anul 2017, Milioane lei RON, 6542
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Buzau, Anul 2018, Milioane lei RON, 7697
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Buzau, Anul 2019, Milioane lei RON, 8168
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Buzau, Anul 2020, Milioane lei RON, 8117
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Buzau, Anul 2021, Milioane lei RON, 10199
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Buzau, Anul 2022, Milioane lei RON, 12529
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Buzau, Anul 2023, Milioane lei RON, 12696
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Buzau, Anul 2024, Milioane lei RON, 12787
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Constanta, Anul 2008, Milioane lei RON, 15932
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Constanta, Anul 2009, Milioane lei RON, 13068
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Constanta, Anul 2010, Milioane lei RON, 15885
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Constanta, Anul 2011, Milioane lei RON, 17165
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Constanta, Anul 2012, Milioane lei RON, 20550
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Constanta, Anul 2013, Milioane lei RON, 19029
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Constanta, Anul 2014, Milioane lei RON, 18924
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Constanta, Anul 2015, Milioane lei RON, 18767
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Constanta, Anul 2016, Milioane lei RON, 19261
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Constanta, Anul 2017, Milioane lei RON, 20693
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Constanta, Anul 2018, Milioane lei RON, 22139
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Constanta, Anul 2019, Milioane lei RON, 24641
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Constanta, Anul 2020, Milioane lei RON, 23607
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Constanta, Anul 2021, Milioane lei RON, 31757
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Constanta, Anul 2022, Milioane lei RON, 42538
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Constanta, Anul 2023, Milioane lei RON, 45062
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Constanta, Anul 2024, Milioane lei RON, 41098
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Galati, Anul 2008, Milioane lei RON, 7657
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Galati, Anul 2009, Milioane lei RON, 6343
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Galati, Anul 2010, Milioane lei RON, 6385
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Galati, Anul 2011, Milioane lei RON, 6862
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Galati, Anul 2012, Milioane lei RON, 7960
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Galati, Anul 2013, Milioane lei RON, 7491
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Galati, Anul 2014, Milioane lei RON, 8511
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Galati, Anul 2015, Milioane lei RON, 8409
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Galati, Anul 2016, Milioane lei RON, 8755
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Galati, Anul 2017, Milioane lei RON, 9712
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Galati, Anul 2018, Milioane lei RON, 10714
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Galati, Anul 2019, Milioane lei RON, 11403
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Galati, Anul 2020, Milioane lei RON, 11155
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Galati, Anul 2021, Milioane lei RON, 13275
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Galati, Anul 2022, Milioane lei RON, 15880
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Galati, Anul 2023, Milioane lei RON, 17824
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Galati, Anul 2024, Milioane lei RON, 15725
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Tulcea, Anul 2008, Milioane lei RON, 2091
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Tulcea, Anul 2009, Milioane lei RON, 2026
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Tulcea, Anul 2010, Milioane lei RON, 1738
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Tulcea, Anul 2011, Milioane lei RON, 2079
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Tulcea, Anul 2012, Milioane lei RON, 2228
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Tulcea, Anul 2013, Milioane lei RON, 2421
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Tulcea, Anul 2014, Milioane lei RON, 2586
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Tulcea, Anul 2015, Milioane lei RON, 2690
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Tulcea, Anul 2016, Milioane lei RON, 2960
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Tulcea, Anul 2017, Milioane lei RON, 3745
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Tulcea, Anul 2018, Milioane lei RON, 4381
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Tulcea, Anul 2019, Milioane lei RON, 4353
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Tulcea, Anul 2020, Milioane lei RON, 4618
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Tulcea, Anul 2021, Milioane lei RON, 6081
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Tulcea, Anul 2022, Milioane lei RON, 6888
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Tulcea, Anul 2023, Milioane lei RON, 8019
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Tulcea, Anul 2024, Milioane lei RON, 6839
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Vrancea, Anul 2008, Milioane lei RON, 3273
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Vrancea, Anul 2009, Milioane lei RON, 2910
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Vrancea, Anul 2010, Milioane lei RON, 2914
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Vrancea, Anul 2011, Milioane lei RON, 3050
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Vrancea, Anul 2012, Milioane lei RON, 3217
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Vrancea, Anul 2013, Milioane lei RON, 3284
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Vrancea, Anul 2014, Milioane lei RON, 3487
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Vrancea, Anul 2015, Milioane lei RON, 3803
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Vrancea, Anul 2016, Milioane lei RON, 4174
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Vrancea, Anul 2017, Milioane lei RON, 4378
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Vrancea, Anul 2018, Milioane lei RON, 4903
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Vrancea, Anul 2019, Milioane lei RON, 5133
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Vrancea, Anul 2020, Milioane lei RON, 5096
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Vrancea, Anul 2021, Milioane lei RON, 6285
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Vrancea, Anul 2022, Milioane lei RON, 7035
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Vrancea, Anul 2023, Milioane lei RON, 7399
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Vrancea, Anul 2024, Milioane lei RON, 7947
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Arges, Anul 2008, Milioane lei RON, 10837
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Arges, Anul 2009, Milioane lei RON, 9382
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Arges, Anul 2010, Milioane lei RON, 10187
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Arges, Anul 2011, Milioane lei RON, 11847
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Arges, Anul 2012, Milioane lei RON, 13526
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Arges, Anul 2013, Milioane lei RON, 8680
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Arges, Anul 2014, Milioane lei RON, 8818
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Arges, Anul 2015, Milioane lei RON, 9586
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Arges, Anul 2016, Milioane lei RON, 10707
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Arges, Anul 2017, Milioane lei RON, 11724
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Arges, Anul 2018, Milioane lei RON, 13554
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Arges, Anul 2019, Milioane lei RON, 14020
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Arges, Anul 2020, Milioane lei RON, 13508
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Arges, Anul 2021, Milioane lei RON, 15504
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Arges, Anul 2022, Milioane lei RON, 19109
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Arges, Anul 2023, Milioane lei RON, 19468
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Arges, Anul 2024, Milioane lei RON, 20425
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Calarasi, Anul 2008, Milioane lei RON, 1810
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Calarasi, Anul 2009, Milioane lei RON, 1637
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Calarasi, Anul 2010, Milioane lei RON, 1739
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Calarasi, Anul 2011, Milioane lei RON, 2033
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Calarasi, Anul 2012, Milioane lei RON, 2104
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Calarasi, Anul 2013, Milioane lei RON, 2433
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Calarasi, Anul 2014, Milioane lei RON, 2982
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Calarasi, Anul 2015, Milioane lei RON, 3293
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Calarasi, Anul 2016, Milioane lei RON, 3282
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Calarasi, Anul 2017, Milioane lei RON, 3632
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Calarasi, Anul 2018, Milioane lei RON, 4676
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Calarasi, Anul 2019, Milioane lei RON, 4021
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Calarasi, Anul 2020, Milioane lei RON, 3977
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Calarasi, Anul 2021, Milioane lei RON, 4973
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Calarasi, Anul 2022, Milioane lei RON, 6245
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Calarasi, Anul 2023, Milioane lei RON, 7327
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Calarasi, Anul 2024, Milioane lei RON, 6911
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Dambovita, Anul 2008, Milioane lei RON, 3818
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Dambovita, Anul 2009, Milioane lei RON, 3413
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Dambovita, Anul 2010, Milioane lei RON, 3412
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Dambovita, Anul 2011, Milioane lei RON, 4081
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Dambovita, Anul 2012, Milioane lei RON, 4798
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Dambovita, Anul 2013, Milioane lei RON, 4302
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Dambovita, Anul 2014, Milioane lei RON, 4466
G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Total, Dambovita, Anul 2015, Milioane lei RON, 4851
